4,01
4,04
4,17
4,25
4,30
4,34
4,46
4,47
4,50
4,53
4,57
4,59
4,63
4,67
4,72
4,73
4,78
4,84
4,88
4,89
4,93
5,09
5,11
5,27
5,34
5,37
5,46
5,54
5,70
5,83
5,96
6,02
6,10
6,22
6,31
6,42
6,45
6,53
6,54
6,93
7,23
7,48
7,51
7,70
7,73
7,75
7,93
7,98
8,00
8,14
8,15
8,15
8,27
8,30
8,55
8,55
8,86
8,97
9,22
9,44
9,53
9,78
9,79
9,82
10,00
10,05
10,20
10,46
11,00
11,15
11,26
11,28
11,47
11,70
11,80
11,96
12,02
12,03
12,05
12,29
12,46
12,67
13,13
13,86
14,09
14,85
14,88
15,17
15,46
15,92
16,09
17,90
18,73
19,84
20,69
21,94
23,18
25,40
26,79
28,97
